Title,Author,Year,Link
The metamorphoses of Ovid,Ovid,N/A,https://openlibrary.org/works/OL15292640W/Metamorphoses?edition=key%3A/books/OL6796852M
Learning Python,Mark Lutz and David Ascher,N/A,https://openlibrary.org/works/OL2784125W/Learning_Python?edition=key%3A/books/OL6804857M
Python: Pocket Reference,Mark Lutz,N/A,https://openlibrary.org/works/OL2784127W/Python?edition=key%3A/books/OL24453347M
Python cookbook,"Alex Martelli, David Ascher, David M. Beazley, and Brian K. Jones",N/A,https://openlibrary.org/works/OL14873289W/Python_Cookbook?edition=key%3A/books/OL3701882M
Programming Python,Mark Lutz,N/A,https://openlibrary.org/works/OL2784126W/Programming_Python?edition=key%3A/books/OL3969544M
"Fluent Python: Clear, Concise, and Effective Programming",Luciano Ramalho,N/A,https://openlibrary.org/works/OL19932156W/Fluent_Python?edition=key%3A/books/OL27112900M
Core Python Programming,R. Nageswara Rao,N/A,https://openlibrary.org/works/OL30906747W/Core_Python_Programming?edition=key%3A/books/OL42461457M
Black Hat Python: Python Programming for Hackers and Pentesters,Justin Seitz and Tim Arnold,N/A,https://openlibrary.org/works/OL19547345W/Black_Hat_Python?edition=key%3A/books/OL26837925M
Think Python,Allen B. Downey and Allen Downey,N/A,https://openlibrary.org/works/OL16976951W/Think_Python?edition=key%3A/books/OL48124255M
"Python: 5 Manuscripts - Python for Beginners, Python Programming, Hacking With Python, Tor, Bitcoin",Joshua Welsh,N/A,https://openlibrary.org/works/OL20212390W/Python?edition=key%3A/books/OL27401324M
Python for Data Analysis,Wes McKinney,N/A,https://openlibrary.org/works/OL17422847W/Python_For_Data_Analysis?edition=key%3A/books/OL33467897M
Automate the Boring Stuff with Python: Practical Programming for Total Beginners,Al Sweigart,N/A,https://openlibrary.org/works/OL17192141W/Automate_the_Boring_Stuff_with_Python?edition=key%3A/books/OL25763874M
"Python Crash Course, 3rd Edition",Eric Matthes,N/A,https://openlibrary.org/works/OL28018702W/Python_Crash_Course_3rd_Edition?edition=key%3A/books/OL38327872M
Introduction to Machine Learning with Python: A Guide for Data Scientists,Andreas C. Mueller and Sarah Guido,N/A,https://openlibrary.org/works/OL17357597W/Introduction_to_Machine_Learning_with_Python?edition=key%3A/books/OL36729824M
Data science from scratch: first principles with Python,Joel Grus,N/A,https://openlibrary.org/works/OL20006690W/Data_science_from_scratch?edition=key%3A/books/OL27186779M
Core Python programming,Wesley Chun,N/A,https://openlibrary.org/works/OL12409294W/Core_Python_programming?edition=key%3A/books/OL18933372M
"Python Crash Course, 2nd Edition: A Hands-On, Project-Based Introduction to Programming",Eric Matthes,N/A,https://openlibrary.org/works/OL20155144W/Python_Crash_Course_2nd_Edition?edition=key%3A/books/OL27335668M
"Python Crash Course: A Hands-On, Project-Based Introduction to Programming",Eric Matthes,N/A,https://openlibrary.org/works/OL17920482W/Python_crash_course?edition=key%3A/books/OL34011705M
Python: the complete reference,Martin C. Brown,N/A,https://openlibrary.org/works/OL725930W/Python?edition=key%3A/books/OL3971483M
Python Data Science Handbook: Essential Tools for Working with Data,Jake VanderPlas,N/A,https://openlibrary.org/works/OL19545956W/Python_Data_Science_Handbook?edition=key%3A/books/OL26836556M
Practical Statistics for Data Scientists: 50+ Essential Concepts Using R and Python,"Peter Bruce, Andrew Bruce, and Peter Gedeck",N/A,https://openlibrary.org/works/OL19545930W/Practical_Statistics_for_Data_Scientists_50_Essential_Concepts?edition=key%3A/books/OL29473562M
Python Playground: Geeky Projects for the Curious Programmer,Mahesh Venkitachalam,N/A,https://openlibrary.org/works/OL21093399W/Python_Playground?edition=key%3A/books/OL28552494M
My Favorite Animal: Pythons,Victoria Marcos,N/A,https://openlibrary.org/works/OL34044841W/My_Favorite_Animal?edition=key%3A/books/OL46105539M
Data Science: A First Introduction with Python,"Tiffany-Anne Timbers, Trevor Campbell, and Melissa Lee",N/A,https://openlibrary.org/works/OL26768447W/Data_Science?edition=key%3A/books/OL53261398M
Python Basics: A Practical Introduction to Python 3,"David Amos, Dan Bader, Joanna Jablonski, and Fletcher Heisler",N/A,https://openlibrary.org/works/OL24337267W/Python_Basics?edition=key%3A/books/OL32211350M
Python: the complete beginner's guide to Python,Byron Francis,N/A,https://openlibrary.org/works/OL27302751W/Python?edition=key%3A/books/OL37063551M
Invitation to computer science,"G. Michael Schneider, Judith L. Gersting, and Judith Gersting",N/A,https://openlibrary.org/works/OL1926026W/Invitation_to_Computer_Science?edition=key%3A/books/OL25384243M
Head First Python: Zhong wen ban,Paul Barry,N/A,https://openlibrary.org/works/OL15664278W/Head_First_Python?edition=key%3A/books/OL35343633M
Python Distilled,David M. Beazley,N/A,https://openlibrary.org/works/OL25803481W/Python_Distilled?edition=key%3A/books/OL34787222M
Beginning Python: Using Python 2.6 and Python 3.1,James R. Payne,N/A,https://openlibrary.org/works/OL15181426W/Beginning_Python?edition=key%3A/books/OL25272611M
"American Film, Volume VII, Number 9: July-August 1982",American Film Institute,N/A,https://openlibrary.org/works/OL17597290W/American_Film?edition=key%3A/books/OL26207013M
Python Programming,Reema Thareja,N/A,https://openlibrary.org/works/OL26755050W/Python_Programming?edition=key%3A/books/OL46578882M
Django for Beginners: Build Websites with Python and Django,William S. Vincent,N/A,https://openlibrary.org/works/OL22297316W/Django_for_Beginners?edition=key%3A/books/OL30372288M
Python! python!: an epic poem,Steve Chimombo,N/A,https://openlibrary.org/works/OL9361421W/Python!_python!?edition=key%3A/books/OL21700200M
Python for Everybody: Exploring Data in Python 3,Dr. Charles Russell Severance,N/A,https://openlibrary.org/works/OL19546442W/Python_for_Everybody?edition=key%3A/books/OL26837032M
Effective Python: 59 specific ways to write better Python.,Brett Slatkin,N/A,https://openlibrary.org/works/OL17192267W/Effective_Python?edition=key%3A/books/OL25764006M
The Pythons,"Monty Python, Graham Chapman, John Cleese, Terry Gilliam, Eric Idle, Terry Jones, Michael Palin, et al, and Bob McCabe",N/A,https://openlibrary.org/works/OL14947004W/Pythons'_Autobiography_by_the_Pythons?edition=key%3A/books/OL17103593M
Python for dummies,Stef Maruch and Aahz Maruch,N/A,https://openlibrary.org/works/OL8232424W/Python_for_dummies?edition=key%3A/books/OL18001920M
Garden Planting Weekly: Ball Python Snake Baby Ball Python Breeders,Yoshiko TOLBERT,N/A,https://openlibrary.org/works/OL28692906W/Garden_Planting_Weekly?edition=key%3A/books/OL39415660M
Python: Beginner's Guide,Martin Evans,N/A,https://openlibrary.org/works/OL29454703W/Python?edition=key%3A/books/OL40658495M
Starting Out with Python,Tony Gaddis,N/A,https://openlibrary.org/works/OL5825093W/Starting_out_with_Python?edition=key%3A/books/OL10461238M
Deep Learning with Python,Francois Chollet,N/A,https://openlibrary.org/works/OL19541947W/Deep_Learning_with_Python?edition=key%3A/books/OL34153741M
Data Structures and Algorithms in Python,"Michael T. Goodrich, Roberto Tamassia, and Michael H Goldwasser",N/A,https://openlibrary.org/works/OL19548248W/Data_Structures_and_Algorithms_in_Python?edition=key%3A/books/OL50501864M
Python in a nutshell,"Alex Martelli, Anna Ravenscroft, and Steve Holden",N/A,https://openlibrary.org/works/OL6045694W/Python_in_a_Nutshell?edition=key%3A/books/OL3703974M
